Scope 2: Indirect Emissions from Electricity Purchases,,,,,,,,,,,,,,,,,,,,,,,
"This section includes emissions from all stationary combustion of fossil fuels done in direct proportion to an energy source purchased by the institution; i.e. purchased electricity and steam generated outside the geographic/control boundaries set in the introduction, yet consumed within them.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Calculating kWH of Carbon Emitting Electricity Sources,,,,,,,,,,,,,,,,,,,,,,,
,Fiscal Year:,,,,,,,,,,,,,,,,,,,,,,
Value,FY06/07,FY07/08,FY08/09,FY09/10,FY10/11,FY11/12,FY12/13,FY13/14,FY14/15,FY 15/16,FY 16/17,FY 17/18,FY 18/19,FY 19/20,FY 20/21,FY 21/22,,FY 22/23,FY 23/24,FY 24/25,,,
Total kWh from GMP *,"22,115,225","22,429,291","21,892,009","22,594,374","22,385,615","21,613,330","  21,910,033 ","  21,424,503 ","22,552,894","20,572,559","22,276,346","22,142,753","20,227,685","17,585,865","17,847,791","  17,435,028 ",,"  18,168,653 ","  17,705,000 ",  -   ,,,
GMP kWh excluded *,"523,794","429,990","443,344","353,345","314,891","310,000","310,000","310,000","310,000","300,000","300,000","300,000","100,000","100,000","100,000","100,000",,"100,000",0,0,,,
GMP kWh from CH4 dig.(Cowpower) ◊,"41,680","50,869","38,941.00","  78,354 ","  66,491 ","  66,000 ","  31,835 ","  31,835 ","  31,835 ","31,800",11355,11851,"  47,285 ","  42,464 ","  43,232 ","  52,280 ",,"  52,280 ","  52,280 ",  -   ,,,
on-campus co-gen kWH *,"4,242,211","4,450,804","4,139,840","3,813,050","4,115,865","  3,654,240 ","  3,320,096 ","3,756,420","3,604,293","3,001,400","3,578,299","2,997,780","3,761,060","  3,041,280 ","  3,000,444 ","  3,175,960 ",,"  2,526,700 ","  2,545,300 ",  -   ,,"3,484,725",
on-campus wind kWH ‡,"4,825","4,317",5168,3965,4910,2768,"  2,328 ","  4,172 ","  4,902 ","  4,126 ","  4,341 ","  3,863 ","  4,135 ","  3,575 ","  2,072 ","  1,652 ",,"  1,652 ","  1,652 ",  -   ,,,
on and off-campus solar kWH ‡,"1,001","2,966","  11,573 ","  11,006 ","  10,627 ","  143,023 ","  259,362 ","  606,777 ","  1,031,541 ","1,034,979","1,395,497","1,786,463","1,703,031","1,812,588","1,772,245","1,852,576",,"1,852,576","1,852,576",0,,,
kWh used w/in boundaries,"25,839,468","26,457,388","25,605,246","26,069,050","26,202,126","25,103,361","25,181,819","25,481,872","26,883,630","24,313,064","26,954,483","26,630,859","25,595,911","22,343,308","22,522,552","22,365,216",,"22,449,581","22,104,528",0,,,
on-campus renewable kWh,"4,248,037","4,458,087","4,156,581","3,828,021","4,131,402","3,800,031","3,581,786","4,367,369","4,640,736","4,040,505","4,978,137","4,788,106","5,468,226","4,857,443","4,774,761","5,030,188",,"4,380,928","4,399,528",0,,,
off-campus renewable kWh,"41,680","50,869","38,941","78,354","66,491","66,000","31,835","31,835","31,835","31,800",,,,,,,,,,,,,
