"Scope 1, Part B: Direct Emissions from Mobile Combustion",,,,,,,,,,,,,,,,,,,,
This section includes emissions from all mobile combustion of fossil fuels purchased by the institution combusted within all vehicles owned and controlled by the institution as established in the introduction.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Summary data,,,,,,,,,,,,,,,,,,,,
,MTCDEs by year,,,,,,,,,,,,,,,"Note: FY22/23 - FY24/25 are copied from FY 21/22 for projection purposes and to be changed for ""what-if"" purposes",,,,
Sources:,FY06/07,FY07/08,FY08/09,FY09/10,FY010/11,FY11/12,FY12/13,FY13/14,FY14/15,FY15/16,FY 16/17,FY 17/18,FY 18/19,FY 19/20,FY 20/21,,FY 21/22,FY 22/23,FY 23/24,FY 24/25
Gas,242.9,253.7,241.9,202.2,229.6,215.8,240.2,266.8,263.7,245.0,237.9,228.4,205.0,155.1,150.4,,166.8,143.8,176.7,144.3
Diesel,123.2,138.8,184.7,136.2,181.1,141.3,129.9,131.4,136.1,96.9,106.5,108.1,104.4,75.4,76.0,,93.1,92.2,93.1,89.0
TOTAL:,366,393,427,338,411,357,370,398,400,342,344,337,309,231,226,,260,236,270,233
,,,,,,,,,,,,,,,,,,,,
Gasoline Fueled Vehicles,,,,,,,,,,,,,,,,,,,,
Σ Scope 1 Gas = campus gas + off campus gas,,,,,,,,,,,,,,,,,,,,
,Fiscal Year:,,,,, ,,,,,,,,,,,,,,
Value/EF,FY06/07,FY07/08,FY08/09,FY09/10,FY10/11,FY11/12,FY12/13,FY13/14,FY14/15,FY15/16,FY 16/17,FY 17/18,FY 18/19,FY 19/20,FY 20/21,,FY 21/22,FY 22/23,FY 23/24,FY 23/25
On- Campus Gasoline/ 10% Ethanol (gal),,,,,2793.6,23531.7,24978.4,"29,824","29,481","22,244","21,387","25,540","19,128","12,536","12,556",,"14,079","10,931","4,108","10,326"
On-Campus Gasoline (gal) *,"24,567.1","25,650.9","24,462","20,447.00","20,585.30",530.70,"1,679.40",0,0,"4,631","4,685",0,"3,410","4,322","3,828",,"4,108","4,620","14,079","5,231"
Total On-Campus Gasoline (gal),"24,567.1","25,650.9","24,462.1","20,447.0","23,099.5","21,709.2","24,160.0","26,842.0","26,532.9","24,650.6","23,933.3","22,986.0","20,625.2","15,604.4","15,128.4",,"16,779.1","14,458.1","17,776.2","14,523.8"
MMBTUs of fuel,"3,052.2","3,186.8","3,039.1","2,540.3","2,869.8","2,697.1","3,001.6","3,334.8","3,296.4","3,062.5","2,973.4","2,855.7","2,562.4","1,938.7","1,879.5",,"2,084.6","1,796.2","2,208.5","1,804.4"
Metric Tonnes CO2,214.0,223.5,213.1,178.1,201.2,189.1,210.5,233.8,231.1,214.7,208.5,200.2,179.7,135.9,131.8,,146.2,126.0,154.9,126.5
Putative Vehicle mi/gal,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,24.0,24.0,24.0,24.0
Gas Vehicle Activity miles,"565,043","589,971","562,628","470,281","554,389","521,022","579,839","644,207.0","636,789.6","591,614.4","574,399.2","551,664.0","495,004.8","374,505.6","363,081.6",,"402,698.4","346,994.9","426,628.8","348,571.7"
Tonnes CH4,0.112,0.117,0.112,0.093,0.110,0.103,0.115,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,0.1
MTCDE from CH4,2.35,2.46,2.34,1.96,2.31,2.17,2.42,2.7,2.7,2.5,2.4,2.3,2.1,1.6,1.5,,1.7,1.4,1.8,1.5
Tonnes N2O,0.086,0.089,0.085,0.071,0.084,0.079,0.088,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,0.1
MTCDE from N2O,26.6,27.7,26.5,22.1,26.1,24.5,27.3,30.3,29.9,27.8,27.0,25.9,23.3,17.6,17.1,,18.9,16.3,20.1,16.4
ΣMTCDE from Gasoline,242.9,253.7,241.9,202.2,229.6,215.8,240.2,266.8,263.7,245.0,237.9,228.4,205.0,155.1,150.4,,166.8,143.8,176.7,144.3
,,,,,,,,,,,,,,,,,,,,
Diesel Fueled Vehicles,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Value/EF,FY06/07,FY07/08,FY08/09,FY09/10,FY010/11,FY11/12,FY12/13,FY13/14,FY14/15,FY15/16,FY 16/17,FY 17/18,FY 18/19,FY 19/20,FY 20/21,,FY 21/22,FY 22/23,FY 23/24,FY 23/25
Straight on-road diesel (gal) *,"11,243.7","13,054.0","16,881.20","12,266.40","17,066.00","12,950.20","12,434.50","12,586","13,029","9,266","10,164","10,312","9,968","7,196","7,250",,"8,886","8,797","8,886","8,486"
B-20 Biodiesel (gal) *,714.2,325.9,"1,047.60",994.9,340.1,718.6,0,0.0,0.0,0,0,0,0,0,0,,0,0,0,0
Total Biodiesel,142.8,65.2,209.5,199.0,68.0,143.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Total diesel (gal),"11,815","13,315","17,719","13,062","17,338","13,525","12,435","12,586.0","13,029.0","9,266.0","10,164.2","10,312.0","9,968.0","7,196.0","7,250.0",,"8,886.0","8,797.1","8,886.0","8,485.7"
MMBTUs of fuel,"1,638.6","1,846.6","2,457.5","1,811.6","2,404.6","1,875.8","1,724.5","1,745.6","1,807.0","1,285.1","1,409.7","1,430.2","1,382.5",998.0,"1,005.5",,"1,232.4","1,220.1","1,232.4","1,176.9"
Metric Tonnes CO2,118.6,133.6,177.8,131.1,174.0,135.8,124.8,126.3,130.8,93.0,102.0,103.5,100.0,72.2,72.8,,89.2,88.3,89.2,85.2
Putative Vehicle mi/gal,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,25.0,26.0,26.0,26.0,26.0,26.0,,26.0,26.0,26.0,26.0
Gas Vehicle Activity miles,"271,746","306,239","407,543","300,433","416,114","324,602","298,428","302,064.0","312,696.0","231,650.0","264,269.2","268,112.0","259,168.0","187,096.0","188,500.0",,"231,036.0","228,724.6","231,036.0","220,628.2"
Tonnes CH4,0.026,0.030,0.039,0.029,0.040,0.031,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
MTCDE from CH4,0.55,0.62,0.83,0.61,0.84,0.66,0.61,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.4,,0.5,0.5,0.5,0.4
Tonnes N2O,0.013,0.015,0.020,0.015,0.020,0.016,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
MTCDE from N2O,4.1,4.6,6.1,4.5,6.2,4.9,4.5,4.5,4.7,3.5,4.0,4.0,3.9,2.8,2.8,,3.5,3.4,3.5,3.3
ΣMTCDE from diesel:,123.2,138.8,184.7,136.2,181.1,141.3,129.9,131.4,136.1,96.9,106.5,108.1,104.4,75.4,76.0,,93.1,92.2,93.1,89.0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Formulaic numbers:,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Standard coefficients:,,,,,,,,,,,,,,,,,,,,
barrels/gallon (1/42),0.02381,,,,,,,,,,,,,,,,,,,
"tonne/kg (1/1,000)",0.001,,,,,,,,,,,,,,,,,,,
tonne/gram (1/1x106),1.0E-06,,,,,,,,,,,,,,,,,,,
CH4 GWP,21,,,,,,,,,,,,,,,,,,,
N2O GWP,310,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gasoline Fueled Vehicles:,,,,,,,,,,,,,,,,,,,,
MMBTU/gal gas EF,0.1242,,,,,,,,,,,,,,,,,,,
Tonnes CO2/gal gas EF,0.008711719881,,,,,,,,,,,,,,,,,,,
CH4 EF (g gas/mile),0.1984,,,,,,,,,,,,,,,,,,,
N2O EF (g gas/mile),0.1517,,,,,,,,,,,,,,,,,,,
HC (MMBTU/bbl),5.218,,,,,,,,,,,,,,,,,,,
CCC (kg C/ MMBTU),19.33,,,,,,,,,,,,,,,,,,,
Fraction Oxidized,0.99,,,,,,,,,,,,,,,,,,,
MW ratio (kg CO2/kg C),3.664,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Diesel Fueled Vehicles:,,,,,,,,,,,,,,,,,,,,
MMBTU/gal diesel EF,0.1387,,,,,,,,,,,,,,,,,,,
Tonnes CO2/gal diesel EF,0.01003706654,,,,,,,,,,,,,,,,,,,
CH4 EF (g gas/mile),0.0966,,,,,,,,,,,,,,,,,,,
N2O EF (g gas/mile),0.0483,,,,,,,,,,,,,,,,,,,
HC (MMBTU/bbl),5.825,,,,,,,,,,,,,,,,,,,
CCC (kg C/ MMBTU),19.95,,,,,,,,,,,,,,,,,,,
Fraction Oxidized,0.99,,,,,,,,,,,,,,,,,,,
MW ratio (kg CO2/kg C),3.664,,,,,,,,,,,,,,,,,,,
