Source,,,,,,,,,,,,,,,,,,
Year,2006_2007,2007_2008,2008_2009,2009_2010,2010_2011,2011_2012,2012_2013,2013_2014,2014_2015,2015_2016,2016_2017,2017_2018,2018_2019,2019_2020,2020_2021,2021_2022,2022_2023,2023_2024
Straight #2 Fuel Oil (gal) *,"60,319.10","50,329.00","42,558.90","29,587.70","40,762.90","30,596","34,631","32,668","56,169","40,945","148,081","159,714","151,031","150,056","157,619","103,909","88,627","75,394"
Breadloaf Campus #2 oil (gal),,,,,,,,,,,,,,,,,,"11,156"
B-20 Bioheat (gal) *,"145,665.80","138,141.80","149,398","129,233.50","142,187.90","124,269","142,689","152,836","124,867","149,348",0,0,0,0,0,0,0,0
Off-Road Diesel (inc. blends) *,"21,662.40","21,840.20","17,595.90","19,427.90","35,999.00","31,039","39,056","37,527","33,024","37,039","40,159","31,394","16,259","9,806","8,729","9,275","9,333","8,421"
Total Bioheat,"29,133.20","27,628.40","29,879.60","25,846.70","28,437.60","24,853.80","28,537.70","30,567.30","24,973.40","29,869.60",0,0,0,0,0,0,0,0
Total #2 Fuel (gal),"198,514","182,683","179,673","152,402","190,512","161,050","187,837","192,464","189,087","197,462","188,240","191,108","167,290","159,862","166,348","113,184","97,960","83,815"
MMBTUs of fuel,"27,532.00","25,336.30","24,919.00","21,136.80","26,422.20","22,336.10","26,051.30","26,692.90","26,224.50","27,386.20","26,107.10","26,504.90","23,201.50","22,171.30","23,070.90","15,697.50","13,586.10","11,624.30"
Metric Tonnes CO2,"1,992.50","1,833.60","1,803.40","1,529.70","1,912.20","1,616.50","1,885.30","1,931.80","1,897.90","1,981.90","1,889.40","1,918.20","1,679.10","1,604.50","1,669.60","1,136.00",983.2,841.3
Tonnes CH4,0.275,0.253,0.249,0.211,0.264,0.223,0.261,0.267,0.262,0.274,0.261,0.265,0.232,0.222,0.231,0.157,0.136,0.116
MTCDE from CH4,5.78,5.32,5.23,4.44,5.55,4.69,5.47,5.61,5.51,5.75,5.48,5.57,4.87,4.66,4.84,3.3,2.85,2.44
Tonnes N2O,0.017,0.015,0.015,0.013,0.016,0.013,0.016,0.016,0.016,0.016,0.016,0.016,0.014,0.013,0.014,0.009,0.008,0.007
MTCDE from N2O,5.12,4.71,4.63,3.93,4.91,4.15,4.85,4.96,4.88,5.09,4.86,4.93,4.32,4.12,4.29,2.92,2.53,2.16
ΣMTCDE from #2 / diesel,"2,003.40","1,843.60","1,813.30","1,538.10","1,922.70","1,625.30","1,895.60","1,942.40","1,908.30","1,992.70","1,899.70","1,928.70","1,688.30","1,613.30","1,678.70","1,142.20",988.6,845.9
