Source_MTCDEs,,,,,,,,,,,,,,,,,,
,2006_2007,2007_2008,2008_2009,2009_2010,2010_2011,2011_2012,2012_2013,2013_2014,2014_2015,2015_2016,2016_2017,2017_2018,2018_2019,2019_2020,2020_2021,2021_2022,2022_2023,2023_2024
Co-Generation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH4 digestion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Natural Gas,23,34,25,0,0,25,696,681,722,803,701,887,219,80,0,0,0,
Coal,15,24,17,0,0,7,151,147,0,0,76,51,0,0,0,0,0,
"#1, 2, & 4 Fuel Oil",3,4,3,11,0,2,7,59,539,554,6,18,251,11,0,0,0,
#5 & 6 Fuel Oil,17,35,21,0,6,4,5,5,0,0,0,0,0,0,0,0,0,
Other (assume NPCC grid),577,884,839,166,505,399,0,0,0,0,837,135,0,83,0,0,0,
Scope 2 TOTAL,635,980,905,177,511,436,859,892,"1,261","1,357","1,619","1,091",469,174,0,0,0,0
