,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023,FY2024,,,,,,,,,,
Co-Generation,4242211.0,4450804.0,4139840.0,3813050.0,4115865.0,3654240.0,3320096.0,3756420.0,3604293.0,3001400.0,3578299.0,2997780.0,3761060.0,3041280.0,3000444.0,3175960.0,2526700.0,2545300.0,0.0,,,,,,,,,,
Wind,4825.0,4317.0,5168.0,3965.0,4910.0,2768.0,2328.0,4172.0,4902.0,4126.0,4341.0,3863.0,4135.0,3575.0,2072.0,1652.0,3052.0,851.0,,,,,,,,,,,
Solar,1001.0,2966.0,11573.0,11006.0,10627.0,143023.0,259362.0,606777.0,1031541.0,1034979.0,1395497.0,1786463.0,1703031.0,1812588.0,1772245.0,1852576.0,1822989.0,1691948.0,,,,,,,,,,,
CH4 digestion,41680.0,50869.0,38941.0,78354.0,66491.0,66000.0,31835.0,31835.0,31835.0,31800.0,,,,,,,,,,,,,,,,,,,
Biomass,346227.0,416638.0,358523.0,775694.0,858165.0,739864.0,1134705.0,1109162.0,0.0,0.0,295964.0,292174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Hydro,7768634.0,8276473.0,7983022.0,8798582.0,8867706.0,8417072.0,10454395.0,10219053.0,10208203.0,7455279.0,9848027.0,9769825.0,12338888.0,10872285.0,11654608.0,11385073.0,12220322.0,11947185.0,0.0,,,,,,,,,,
Nuclear,11789610.0,10711877.0,10766993.0,12078658.0,11024121.0,11125311.0,4303835.0,4206949.0,5819297.0,6094493.0,5610097.0,6158785.0,5663752.0,5545527.0,5693445.0,5561774.0,5969805.0,5836374.0,0.0,,,,,,,,,,
Natural Gas,125868.0,185853.0,140803.0,0.0,0.0,139816.0,3864018.0,3777033.0,4006875.0,4456408.0,3892034.0,4924548.0,1213661.0,442812.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Coal,48573.0,75483.0,53225.0,0.0,0.0,21426.0,475794.0,465084.0,0.0,0.0,238190.0,161199.0,0.0,950.0,18.0,17.0,19.0,18.0,0.0,,,,,,,,,,
"#1, 2, & 4 Fuel Oil",10223.0,17076.0,11056.0,44325.0,0.0,6371.0,26644.0,236871.0,2176684.0,2234580.0,23312.0,70525.0,1011384.0,43965.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
#5 & 6 Fuel Oil,63486.0,129287.0,76921.0,0.0,22004.0,14866.0,19411.0,18974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Other (assume NPCC grid),1384037.0,2120179.0,2011923.0,398928.0,1210233.0,955680.0,22.0,21.0,0.0,0.0,2005862.0,322398.0,0.0,199424.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Total kWh,25826374.0,26441822.0,25597988.0,26002562.0,26180122.0,25286438.0,23892446.0,24432351.0,26883630.0,24313064.0,26891624.0,26487561.0,25695911.0,21962405.0,22122832.0,21977052.0,22542886.0,22021676.0,0.0,,,,,,,,,,
MMBTU_elec_nat_gas,429.5,634.1,480.4,0.0,0.0,477.1,13184.4,12887.6,13671.9,15205.7,13280.0,16803.1,4141.1,1510.9,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
MMBTUs of electricity_coal,165.7,257.6,181.6,0.0,0.0,73.1,1623.5,1586.9,0.0,0.0,812.7,550.0,0.0,3.2,0.1,0.1,0.1,0.1,0.0,,,,,,,,,,
"MMBTUs of electricity(#1,2,4 fuel oil)",34.9,58.3,37.7,151.2,0.0,21.7,90.9,808.2,7427.1,7624.6,79.5,240.6,3450.9,150.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
MMBTUs of electricity(#5&6 Fuel Oil),216.6,441.1,262.5,0.0,75.1,50.7,66.2,64.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
MMBTUs of electricity(NPCC),4722.5,7234.3,6864.9,1361.2,4129.4,3260.9,0.1,0.1,0.0,0.0,6844.2,1100.1,0.0,680.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
