Middlebury College Annual Greenhouse Gas Inventory: Scope 1 Summary,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
MTCDEs by Fuel Source:,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source,FY06/07,FY07/08,FY08/09,FY09/10,FY10/11,FY11/12,FY12/13,FY13/14,FY14/15,FY15/16,FY16/17,FY17/18,FY18/19,FY19/20,FY20/21,FY21/22,,FY22/23,FY23/24,FY24/25,FY24/26
#6 Fuel Oil,"23,876","25,145","22,366","14,041","11,272","11,405","6,489","7,272","7,032","2,169","1,880",423,0,0,0,0,,0,0,0,0
#2 and Diesel,"2,003","1,844","1,813","1,538","1,923","1,625","1,896","1,942","1,908","1,993","1,900","1,929","1,688","1,613","1,679","1,142",,989,846,747,0
Propane,712,655,643,591,653,659,611,380,463,413,599,509,531,387,330,437,,402,406,414,0
Natural Gas,0,0,0,0,0,0,0,0,0,"3,763","3,018","4,392","5,068","4,433","6,105","6,397",,"4,323","3,260",936,116
Anthropogenic Biomass,0,0,42,181,247,207,273,333,320,255,283,267,278,239,199,202,,231,243,288,88
RNG,,,,,,,,,,,,,,,,0,,0,0,0,0
Stationary TOTAL:,"26,592","27,644","24,864","16,351","14,095","13,896","9,269","9,928","9,723","8,594","7,680","7,519","7,565","6,673","8,312","8,179",,"5,945","4,755","2,385",204
Gas,243,254,242,202,230,216,240,267,264,245,238,228,205,155,150,167,,144,177,144,
Diesel,123,139,185,136,181,141,130,131,136,97,107,108,104,75,76,93,,92,93,89,
Mobile TOTAL:,366,393,427,338,411,357,370,398,400,342,344,337,309,231,226,260,,236,270,233,0
,,,,,,,,,,,,,,,,,,,,,
Scope 1 TOTAL:,"26,958","28,037","25,291","16,689","14,505","14,253","9,639","10,326","10,123","8,935","8,024","7,855","7,874","6,903","8,539","8,438",,"6,181","5,025","2,618",204
,,,,,,,,,,,,,,,,,,,,,
Biogenic emissions (biomass),,,,,,,,,,,,,,,,,,,,,
EPA,0,0,"3,200","13,704","18,722","15,696","20,710","25,277","24,241","19,357","21,452","20,225","21,044","18,117","15,098","15,345",,"17,496","18,450","21,856","6,637"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Extensive Data,,,,,,,,,,,,,,,,,,,,,
Extensive Data Mobile,,,,,,,,,,,,,,,,,,,,,
