,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023,FY2024
Mileage,226.00,401.00,455.00,576.00,455.00,430.00,493.00,631.00,622.00,927.00,984.00,1005.00,218.00,458.00,36.00,262.00,477.00,589.00,852.00
Taxis,21.00,20.00,17.00,17.00,18.00,28.00,26.00,31.00,38.00,31.00,37.00,43.00,30.00,31.00,32.00,33.00,34.00,35.00,30.00
Bus,68.00,69.00,65.00,74.00,90.00,114.00,113.00,117.00,123.00,125.00,137.00,107.00,113.00,115.00,117.00,120.00,122.00,124.00,113.00
Airplanes,1349.00,1423.00,1109.00,1122.00,1785.00,2056.00,2346.00,2877.00,3062.00,2181.00,2689.00,2707.00,839.00,1813.00,119.00,1120.00,2306.00,2738.00,2738.00
Trains,25.00,25.00,22.00,32.00,19.00,44.00,38.00,37.00,42.00,31.00,26.00,27.00,29.00,21.00,21.00,22.00,23.00,23.00,24.00
CH4 EF w/out Recovery (MTCE/ton),0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
CH4 EF w/ Recovery (MTCE/ton),0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
CH4 EF w/ LFGE (MTCE/ton),0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Short Tons Solid Waste,553.98,547.32,477.47,432.82,430.29,407.09,438.23,405.92,445.03,385.83,394.75,400.50,341.08,19.38,13.32,472.18,473.00,472.18,472.18
Tonnes CH4,6.54,13.56,9.48,7.11,9.74,8.72,7.28,6.74,7.39,6.41,6.56,6.65,5.67,0.32,0.22,7.84,7.84,7.84,7.84
Total,1826.00,2222.00,1866.00,1970.00,2571.00,2855.00,3167.00,3835.00,4042.00,3429.00,4010.00,4028.00,1396.00,2458.08,330.00,1721.00,3126.00,3673.00,3921.00
