,Emissions_Source,Fiscal_Year,MTCDE
0,Scope1,FY2006,26957.8
1,Scope2,FY2006,634.8
2,Scope3,FY2006,1826.0
3,Offsets_Internal,FY2006,0.0
4,Offsets_External,FY2006,-864.6
5,Scope1,FY2007,28036.6
6,Scope2,FY2007,980.3
7,Scope3,FY2007,2221.9
8,Offsets_Internal,FY2007,0.0
9,Offsets_External,FY2007,-595.1
10,Scope1,FY2008,25290.9
11,Scope2,FY2008,904.6
12,Scope3,FY2008,1866.4
13,Offsets_Internal,FY2008,0.0
14,Offsets_External,FY2008,-660.1
15,Scope1,FY2009,16689.2
16,Scope2,FY2009,177.2
17,Scope3,FY2009,1969.6
18,Offsets_Internal,FY2009,0.0
19,Offsets_External,FY2009,-539.6
20,Scope1,FY2010,14505.3
21,Scope2,FY2010,510.6
22,Scope3,FY2010,2571.2
23,Offsets_Internal,FY2010,0.0
24,Offsets_External,FY2010,-551.5
25,Scope1,FY2011,14253.4
26,Scope2,FY2011,436.2
27,Scope3,FY2011,2854.8
28,Offsets_Internal,FY2011,0.0
29,Offsets_External,FY2011,-551.4
30,Scope1,FY2012,9638.8
31,Scope2,FY2012,858.9
32,Scope3,FY2012,3167.2
33,Offsets_Internal,FY2012,0.0
34,Offsets_External,FY2012,-551.2
35,Scope1,FY2013,10326.0
36,Scope2,FY2013,891.6
37,Scope3,FY2013,3835.5
38,Offsets_Internal,FY2013,0.0
39,Offsets_External,FY2013,-644.6
40,Scope1,FY2014,10122.8
41,Scope2,FY2014,1261.4
42,Scope3,FY2014,3622.1
43,Offsets_Internal,FY2014,0.0
44,Offsets_External,FY2014,-645.9
45,Scope1,FY2015,8935.5
46,Scope2,FY2015,1356.7
47,Scope3,FY2015,3429.1
48,Offsets_Internal,FY2015,0.0
49,Offsets_External,FY2015,-634.0
50,Scope1,FY2016,8023.9
51,Scope2,FY2016,1619.2
52,Scope3,FY2016,4010.0
53,Offsets_Internal,FY2016,-13020.1
54,Offsets_External,FY2016,-633.0
55,Scope1,FY2017,7855.3
56,Scope2,FY2017,1090.5
57,Scope3,FY2017,4028.1
58,Offsets_Internal,FY2017,-12340.9
59,Offsets_External,FY2017,-633.0
60,Scope1,FY2018,7874.4
61,Scope2,FY2018,469.3
62,Scope3,FY2018,1396.1
63,Offsets_Internal,FY2018,-9106.8
64,Offsets_External,FY2018,-633.0
65,Scope1,FY2019,6903.5
66,Scope2,FY2019,174.1
67,Scope3,FY2019,2444.0
68,Offsets_Internal,FY2019,-9521.5
69,Offsets_External,FY2019,0.0
70,Scope1,FY2020,8538.5
71,Scope2,FY2020,0.0
72,Scope3,FY2020,2441.8
73,Offsets_Internal,FY2020,-10980.4
74,Offsets_External,FY2020,0.0
75,Scope1,FY2021,8438.4
76,Scope2,FY2021,0.0
77,Scope3,FY2021,490.01
78,Offsets_Internal,FY2021,-8928.5
79,Offsets_External,FY2021,0.0
80,Scope1,FY2022,6180.9
81,Scope2,FY2022,0.0
82,Scope3,FY2022,1556.5
83,Offsets_Internal,FY2022,-7737.4
84,Offsets_External,FY2022,0.0
85,Scope1,FY2023,5025.0
86,Scope2,FY2023,0.0
87,Scope3,FY2023,3125.9
88,Offsets_Internal,FY2023,-8150.9
89,Offsets_External,FY2023,0.0
90,Scope1,FY2024,2617.9
91,Scope2,FY2024,0.0
92,Scope3,FY2024,3921.2
93,Offsets_Internal,FY2024,0.0
94,Offsets_External,FY2024,0.0
