,Emissions_Source,Fiscal_Year,value
0,#6 Fuel Oil (gal) *,FY2006,2040108.0
1,Straight #2 Fuel Oil (gal) ,FY2006,60319.1
2,Bioheat,FY2006,29133.2
3,Total #2 Fuel (gal),FY2006,198514.0
4,Propane (gal) *,FY2006,123902.0
5,Natural_Gas (MCF),FY2006,0.0
6,Renewable_Nat_Gas (MCF),FY2006,0.0
7,MMBTUs of fuel(#6 Fuel Oil),FY2006,"305,384.70"
8,MMBTUs of fuel(offroad diesel),FY2006,"27,532.00"
9,MMBTUs of fuel(propane),FY2006,"11,280.00"
10,MMBTUs of fuel(natural gas),FY2006,0
11,MMBTUs of fuel(RNG),FY2006,0
12,#6 Fuel Oil (gal) *,FY2007,2148533.0
13,Straight #2 Fuel Oil (gal) ,FY2007,50329.0
14,Bioheat,FY2007,27628.4
15,Total #2 Fuel (gal),FY2007,182683.0
16,Propane (gal) *,FY2007,114043.0
17,Natural_Gas (MCF),FY2007,0.0
18,Renewable_Nat_Gas (MCF),FY2007,0.0
19,MMBTUs of fuel(#6 Fuel Oil),FY2007,"321,614.90"
20,MMBTUs of fuel(offroad diesel),FY2007,"25,336.30"
21,MMBTUs of fuel(propane),FY2007,"10,380.00"
22,MMBTUs of fuel(natural gas),FY2007,0
23,MMBTUs of fuel(RNG),FY2007,0
24,#6 Fuel Oil (gal) *,FY2008,1911015.0
25,Straight #2 Fuel Oil (gal) ,FY2008,42558.9
26,Bioheat,FY2008,29879.6
27,Total #2 Fuel (gal),FY2008,179673.0
28,Propane (gal) *,FY2008,111960.2
29,Natural_Gas (MCF),FY2008,0.0
30,Renewable_Nat_Gas (MCF),FY2008,0.0
31,MMBTUs of fuel(#6 Fuel Oil),FY2008,"286,060.70"
32,MMBTUs of fuel(offroad diesel),FY2008,"24,919.00"
33,MMBTUs of fuel(propane),FY2008,"10,190.00"
34,MMBTUs of fuel(natural gas),FY2008,0
35,MMBTUs of fuel(RNG),FY2008,0
36,#6 Fuel Oil (gal) *,FY2009,1199687.0
37,Straight #2 Fuel Oil (gal) ,FY2009,29587.7
38,Bioheat,FY2009,25846.7
39,Total #2 Fuel (gal),FY2009,152402.0
40,Propane (gal) *,FY2009,102932.7
41,Natural_Gas (MCF),FY2009,0.0
42,Renewable_Nat_Gas (MCF),FY2009,0.0
43,MMBTUs of fuel(#6 Fuel Oil),FY2009,"179,581.70"
44,MMBTUs of fuel(offroad diesel),FY2009,"21,136.80"
45,MMBTUs of fuel(propane),FY2009,"9,370.00"
46,MMBTUs of fuel(natural gas),FY2009,0
47,MMBTUs of fuel(RNG),FY2009,0
48,#6 Fuel Oil (gal) *,FY2010,963126.0
49,Straight #2 Fuel Oil (gal) ,FY2010,40762.9
50,Bioheat,FY2010,28437.6
51,Total #2 Fuel (gal),FY2010,190512.0
52,Propane (gal) *,FY2010,113634.0
53,Natural_Gas (MCF),FY2010,0.0
54,Renewable_Nat_Gas (MCF),FY2010,0.0
55,MMBTUs of fuel(#6 Fuel Oil),FY2010,"144,170.80"
56,MMBTUs of fuel(offroad diesel),FY2010,"26,422.20"
57,MMBTUs of fuel(propane),FY2010,"10,350.00"
58,MMBTUs of fuel(natural gas),FY2010,0
59,MMBTUs of fuel(RNG),FY2010,0
