,Emissions_Source,Fiscal_Year,value
0,Co-Generation,FY2006,4242211.0
1,Wind,FY2006,4825.0
2,Solar,FY2006,1001.0
3,CH4 digestion,FY2006,41680.0
4,Biomass,FY2006,346227.0
5,Hydro,FY2006,7768634.0
6,Nuclear,FY2006,11789610.0
7,Natural Gas,FY2006,125868.0
8,Coal,FY2006,48573.0
9,"#1, 2, & 4 Fuel Oil",FY2006,10223.0
10,#5 & 6 Fuel Oil,FY2006,63486.0
11,Other (assume NPCC grid),FY2006,1384037.0
12,Total kWh,FY2006,25826374.0
13,MMBTU_elec_nat_gas,FY2006,429.5
14,MMBTUs of electricity_coal,FY2006,165.7
15,"MMBTUs of electricity(#1,2,4 fuel oil)",FY2006,34.9
16,MMBTUs of electricity(#5&6 Fuel Oil),FY2006,216.6
17,MMBTUs of electricity(NPCC),FY2006,4722.5
18,Co-Generation,FY2007,4450804.0
19,Wind,FY2007,4317.0
20,Solar,FY2007,2966.0
21,CH4 digestion,FY2007,50869.0
22,Biomass,FY2007,416638.0
23,Hydro,FY2007,8276473.0
24,Nuclear,FY2007,10711877.0
25,Natural Gas,FY2007,185853.0
26,Coal,FY2007,75483.0
27,"#1, 2, & 4 Fuel Oil",FY2007,17076.0
28,#5 & 6 Fuel Oil,FY2007,129287.0
29,Other (assume NPCC grid),FY2007,2120179.0
30,Total kWh,FY2007,26441822.0
31,MMBTU_elec_nat_gas,FY2007,634.1
32,MMBTUs of electricity_coal,FY2007,257.6
33,"MMBTUs of electricity(#1,2,4 fuel oil)",FY2007,58.3
34,MMBTUs of electricity(#5&6 Fuel Oil),FY2007,441.1
35,MMBTUs of electricity(NPCC),FY2007,7234.3
36,Co-Generation,FY2008,4139840.0
37,Wind,FY2008,5168.0
38,Solar,FY2008,11573.0
39,CH4 digestion,FY2008,38941.0
40,Biomass,FY2008,358523.0
41,Hydro,FY2008,7983022.0
42,Nuclear,FY2008,10766993.0
43,Natural Gas,FY2008,140803.0
44,Coal,FY2008,53225.0
45,"#1, 2, & 4 Fuel Oil",FY2008,11056.0
46,#5 & 6 Fuel Oil,FY2008,76921.0
47,Other (assume NPCC grid),FY2008,2011923.0
48,Total kWh,FY2008,25597988.0
49,MMBTU_elec_nat_gas,FY2008,480.4
50,MMBTUs of electricity_coal,FY2008,181.6
51,"MMBTUs of electricity(#1,2,4 fuel oil)",FY2008,37.7
52,MMBTUs of electricity(#5&6 Fuel Oil),FY2008,262.5
53,MMBTUs of electricity(NPCC),FY2008,6864.9
54,Co-Generation,FY2009,3813050.0
55,Wind,FY2009,3965.0
56,Solar,FY2009,11006.0
57,CH4 digestion,FY2009,78354.0
58,Biomass,FY2009,775694.0
