,Unnamed: 0,Year,Source_MTCDEs,value
0,0,2006_2007,Co-Generation,0.0
1,1,2007_2008,Co-Generation,0.0
2,2,2008_2009,Co-Generation,0.0
3,3,2009_2010,Co-Generation,0.0
4,4,2010_2011,Co-Generation,0.0
5,5,2011_2012,Co-Generation,0.0
6,6,2012_2013,Co-Generation,0.0
7,7,2013_2014,Co-Generation,0.0
8,8,2014_2015,Co-Generation,0.0
9,9,2015_2016,Co-Generation,0.0
10,10,2016_2017,Co-Generation,0.0
11,11,2017_2018,Co-Generation,0.0
12,12,2018_2019,Co-Generation,0.0
13,13,2019_2020,Co-Generation,0.0
14,14,2020_2021,Co-Generation,0.0
15,15,2021_2022,Co-Generation,0.0
16,16,2022_2023,Co-Generation,0.0
17,17,2023_2024,Co-Generation,0.0
18,18,2006_2007,Wind,0.0
19,19,2007_2008,Wind,0.0
20,20,2008_2009,Wind,0.0
21,21,2009_2010,Wind,0.0
22,22,2010_2011,Wind,0.0
23,23,2011_2012,Wind,0.0
24,24,2012_2013,Wind,0.0
25,25,2013_2014,Wind,0.0
26,26,2014_2015,Wind,0.0
27,27,2015_2016,Wind,0.0
28,28,2016_2017,Wind,0.0
29,29,2017_2018,Wind,0.0
30,30,2018_2019,Wind,0.0
31,31,2019_2020,Wind,0.0
32,32,2020_2021,Wind,0.0
33,33,2021_2022,Wind,0.0
34,34,2022_2023,Wind,0.0
35,35,2023_2024,Wind,0.0
36,36,2006_2007,Solar,0.0
37,37,2007_2008,Solar,0.0
38,38,2008_2009,Solar,0.0
39,39,2009_2010,Solar,0.0
40,40,2010_2011,Solar,0.0
41,41,2011_2012,Solar,0.0
42,42,2012_2013,Solar,0.0
43,43,2013_2014,Solar,0.0
44,44,2014_2015,Solar,0.0
45,45,2015_2016,Solar,0.0
46,46,2016_2017,Solar,0.0
47,47,2017_2018,Solar,0.0
48,48,2018_2019,Solar,0.0
49,49,2019_2020,Solar,0.0
50,50,2020_2021,Solar,0.0
51,51,2021_2022,Solar,0.0
52,52,2022_2023,Solar,0.0
53,53,2023_2024,Solar,0.0
54,54,2006_2007,CH4 digestion,0.0
55,55,2007_2008,CH4 digestion,0.0
56,56,2008_2009,CH4 digestion,0.0
57,57,2009_2010,CH4 digestion,0.0
58,58,2010_2011,CH4 digestion,0.0
59,59,2011_2012,CH4 digestion,0.0
60,60,2012_2013,CH4 digestion,0.0
61,61,2013_2014,CH4 digestion,0.0
62,62,2014_2015,CH4 digestion,0.0
63,63,2015_2016,CH4 digestion,0.0
64,64,2016_2017,CH4 digestion,0.0
65,65,2017_2018,CH4 digestion,0.0
66,66,2018_2019,CH4 digestion,0.0
67,67,2019_2020,CH4 digestion,0.0
68,68,2020_2021,CH4 digestion,0.0
69,69,2021_2022,CH4 digestion,0.0
70,70,2022_2023,CH4 digestion,0.0
71,71,2023_2024,CH4 digestion,0.0
72,72,2006_2007,Biomass,0.0
73,73,2007_2008,Biomass,0.0
74,74,2008_2009,Biomass,0.0
75,75,2009_2010,Biomass,0.0
76,76,2010_2011,Biomass,0.0
77,77,2011_2012,Biomass,0.0
78,78,2012_2013,Biomass,0.0
79,79,2013_2014,Biomass,0.0
80,80,2014_2015,Biomass,0.0
81,81,2015_2016,Biomass,0.0
82,82,2016_2017,Biomass,0.0
83,83,2017_2018,Biomass,0.0
84,84,2018_2019,Biomass,0.0
85,85,2019_2020,Biomass,0.0
86,86,2020_2021,Biomass,0.0
87,87,2021_2022,Biomass,0.0
88,88,2022_2023,Biomass,0.0
89,89,2023_2024,Biomass,0.0
90,90,2006_2007,Hydro,0.0
91,91,2007_2008,Hydro,0.0
92,92,2008_2009,Hydro,0.0
93,93,2009_2010,Hydro,0.0
94,94,2010_2011,Hydro,0.0
95,95,2011_2012,Hydro,0.0
96,96,2012_2013,Hydro,0.0
97,97,2013_2014,Hydro,0.0
98,98,2014_2015,Hydro,0.0
99,99,2015_2016,Hydro,0.0
100,100,2016_2017,Hydro,0.0
101,101,2017_2018,Hydro,0.0
102,102,2018_2019,Hydro,0.0
103,103,2019_2020,Hydro,0.0
104,104,2020_2021,Hydro,0.0
105,105,2021_2022,Hydro,0.0
106,106,2022_2023,Hydro,0.0
107,107,2023_2024,Hydro,0.0
108,108,2006_2007,Nuclear,0.0
109,109,2007_2008,Nuclear,0.0
110,110,2008_2009,Nuclear,0.0
111,111,2009_2010,Nuclear,0.0
112,112,2010_2011,Nuclear,0.0
113,113,2011_2012,Nuclear,0.0
114,114,2012_2013,Nuclear,0.0
115,115,2013_2014,Nuclear,0.0
116,116,2014_2015,Nuclear,0.0
117,117,2015_2016,Nuclear,0.0
118,118,2016_2017,Nuclear,0.0
119,119,2017_2018,Nuclear,0.0
120,120,2018_2019,Nuclear,0.0
121,121,2019_2020,Nuclear,0.0
