,Emissions_Source,Fiscal_Year,value
0,Mileage,FY2006,225.8
1,Taxis,FY2006,20.6
2,Bus,FY2006,68.0
3,Airplanes,FY2006,1349.0
4,Trains,FY2006,25.1
5,Total,FY2006,1689.0
6,Mileage,FY2007,401.0
7,Taxis,FY2007,20.3
8,Bus,FY2007,69.0
9,Airplanes,FY2007,1422.5
10,Trains,FY2007,24.5
11,Total,FY2007,1937.0
12,Mileage,FY2008,455.2
13,Taxis,FY2008,16.6
14,Bus,FY2008,65.0
15,Airplanes,FY2008,1108.6
16,Trains,FY2008,22.2
17,Total,FY2008,1667.0
18,Mileage,FY2009,575.9
19,Taxis,FY2009,16.8
20,Bus,FY2009,74.0
21,Airplanes,FY2009,1121.6
22,Trains,FY2009,31.7
23,Total,FY2009,1820.0
24,Mileage,FY2010,454.6
25,Taxis,FY2010,17.8
26,Bus,FY2010,90.0
27,Airplanes,FY2010,1785.1
28,Trains,FY2010,18.8
29,Total,FY2010,2367.0
30,Mileage,FY2011,430.1
31,Taxis,FY2011,28.1
32,Bus,FY2011,114.0
33,Airplanes,FY2011,2056.1
34,Trains,FY2011,43.8
35,Total,FY2011,2672.0
36,Mileage,FY2012,492.5
37,Taxis,FY2012,25.5
38,Bus,FY2012,113.0
39,Airplanes,FY2012,2345.6
40,Trains,FY2012,38.2
41,Total,FY2012,3014.0
42,Mileage,FY2013,631.0
43,Taxis,FY2013,31.4
44,Bus,FY2013,117.0
45,Airplanes,FY2013,2877.2
46,Trains,FY2013,37.2
47,Total,FY2013,3694.0
48,Mileage,FY2014,622.2
49,Taxis,FY2014,37.5
50,Bus,FY2014,123.0
51,Airplanes,FY2014,3062.3
52,Trains,FY2014,42.0
53,Total,FY2014,3887.0
54,Mileage,FY2015,622.2
55,Taxis,FY2015,37.5
56,Bus,FY2015,123.0
57,Airplanes,FY2015,2651.9
58,Trains,FY2015,32.1
59,Total,FY2015,3466.9
60,Mileage,FY2016,926.8
61,Taxis,FY2016,31.2
62,Bus,FY2016,125.0
63,Airplanes,FY2016,2180.8
64,Trains,FY2016,31.0
65,Total,FY2016,3294.5
66,Mileage,FY2017,983.5
67,Taxis,FY2017,36.6
68,Bus,FY2017,137.0
69,Airplanes,FY2017,2689.2
70,Trains,FY2017,26.3
71,Total,FY2017,3872.3
72,Mileage,FY2018,1004.9
73,Taxis,FY2018,43.0
74,Bus,FY2018,107.0
75,Airplanes,FY2018,2706.6
76,Trains,FY2018,26.9
77,Total,FY2018,3888.4
78,Mileage,FY2019,217.8
79,Taxis,FY2019,30.1
80,Bus,FY2019,113.0
81,Airplanes,FY2019,839.4
82,Trains,FY2019,28.9
83,Total,FY2019,1277.1
84,Mileage,FY2020,458.2
85,Taxis,FY2020,31.0
86,Bus,FY2020,115.0
87,Airplanes,FY2020,1812.5
88,Trains,FY2020,20.7
89,Total,FY2020,2437.2
90,Mileage,FY2021,36.3
91,Taxis,FY2021,32.0
92,Bus,FY2021,117.0
93,Airplanes,FY2021,118.5
94,Trains,FY2021,21.3
95,Total,FY2021,325.3
96,Mileage,FY2022,262.3
97,Taxis,FY2022,32.9
98,Bus,FY2022,120.0
99,Airplanes,FY2022,1119.9
100,Trains,FY2022,21.9
101,Total,FY2022,1556.5
102,Mileage,FY2023,477.0
103,Taxis,FY2023,33.9
104,Bus,FY2023,122.0
105,Airplanes,FY2023,2305.8
106,Trains,FY2023,22.6
107,Total,FY2023,2961.2
