,Year,Source_MTCDEs,value,Scope_Type
0,2006_2007,#6 Fuel Oil,23876.0,Scope 1
1,2007_2008,#6 Fuel Oil,25145.0,Scope 1
2,2008_2009,#6 Fuel Oil,22366.0,Scope 1
3,2009_2010,#6 Fuel Oil,14041.0,Scope 1
4,2010_2011,#6 Fuel Oil,11272.0,Scope 1
5,2011_2012,#6 Fuel Oil,11405.0,Scope 1
6,2012_2013,#6 Fuel Oil,6489.0,Scope 1
7,2013_2014,#6 Fuel Oil,7272.0,Scope 1
8,2014_2015,#6 Fuel Oil,7032.0,Scope 1
9,2015_2016,#6 Fuel Oil,2169.0,Scope 1
10,2016_2017,#6 Fuel Oil,1880.0,Scope 1
11,2017_2018,#6 Fuel Oil,423.0,Scope 1
12,2018_2019,#6 Fuel Oil,0.0,Scope 1
13,2019_2020,#6 Fuel Oil,0.0,Scope 1
14,2020_2021,#6 Fuel Oil,0.0,Scope 1
15,2021_2022,#6 Fuel Oil,0.0,Scope 1
16,2022_2023,#6 Fuel Oil,0.0,Scope 1
17,2023_2024,#6 Fuel Oil,0.0,Scope 1
18,,#6 Fuel Oil,0.0,Scope 1
19,,#6 Fuel Oil,0.0,Scope 1
20,2006_2007,#2 and Diesel,2003.0,Scope 1
21,2007_2008,#2 and Diesel,1844.0,Scope 1
22,2008_2009,#2 and Diesel,1813.0,Scope 1
23,2009_2010,#2 and Diesel,1538.0,Scope 1
24,2010_2011,#2 and Diesel,1923.0,Scope 1
25,2011_2012,#2 and Diesel,1625.0,Scope 1
26,2012_2013,#2 and Diesel,1896.0,Scope 1
27,2013_2014,#2 and Diesel,1942.0,Scope 1
28,2014_2015,#2 and Diesel,1908.0,Scope 1
29,2015_2016,#2 and Diesel,1993.0,Scope 1
30,2016_2017,#2 and Diesel,1900.0,Scope 1
31,2017_2018,#2 and Diesel,1929.0,Scope 1
32,2018_2019,#2 and Diesel,1688.0,Scope 1
33,2019_2020,#2 and Diesel,1613.0,Scope 1
34,2020_2021,#2 and Diesel,1679.0,Scope 1
35,2021_2022,#2 and Diesel,1142.0,Scope 1
36,2022_2023,#2 and Diesel,989.0,Scope 1
37,2023_2024,#2 and Diesel,846.0,Scope 1
38,,#2 and Diesel,747.0,Scope 1
39,,#2 and Diesel,0.0,Scope 1
40,2006_2007,Propane,712.0,Scope 1
41,2007_2008,Propane,655.0,Scope 1
42,2008_2009,Propane,643.0,Scope 1
43,2009_2010,Propane,591.0,Scope 1
44,2010_2011,Propane,653.0,Scope 1
45,2011_2012,Propane,659.0,Scope 1
46,2012_2013,Propane,611.0,Scope 1
47,2013_2014,Propane,380.0,Scope 1
48,2014_2015,Propane,463.0,Scope 1
49,2015_2016,Propane,413.0,Scope 1
50,2016_2017,Propane,599.0,Scope 1
51,2017_2018,Propane,509.0,Scope 1
52,2018_2019,Propane,531.0,Scope 1
